movie_id,tomatometer,audience_score
1617,99%,94%
1615,64%,70%
1619,,
1621,81%,86%
1622,20%,43%
1623,27%,38%
1629,,
1625,,
1628,18%,44%
1631,,
1633,94%,75%
1626,,30%
1639,87%,83%
1636,40%,36%
1635,85%,82%
1640,11%,76%
1641,96%,79%
1648,62%,77%
1647,13%,33%
1650,81%,69%
1644,43%,40%
1645,63%,80%
1651,61%,45%
1652,48%,74%
1654,57%,66%
1656,28%,76%
1657,34%,65%
1659,88%,78%
1653,82%,87%
1655,13%,27%
1661,32%,46%
1662,53%,65%
1660,82%,90%
1663,86%,79%
1668,,
1666,31%,44%
1665,44%,53%
1669,53%,78%
1670,80%,74%
1671,48%,58%
1675,,
1673,93%,89%
1667,36%,42%
1676,65%,70%
1677,59%,30%
1678,86%,89%
1679,13%,21%
1680,64%,77%
1681,2%,25%
1683,84%,78%
1685,40%,40%
1682,95%,89%
1686,30%,48%
1684,71%,57%
1689,39%,69%
1687,23%,52%
1693,77%,79%
1696,,46%
1694,90%,78%
1690,54%,39%
1695,67%,64%
1699,77%,82%
1701,73%,82%
1702,24%,33%
1697,,
1704,98%,94%
1703,14%,46%
1706,,
1705,,67%
1707,29%,27%
1708,,
1709,,
1714,,
1713,42%,49%
1717,81%,57%
1716,,
1715,12%,51%
1711,50%,65%
1718,,
1721,89%,69%
1723,1%,31%
1725,59%,75%
1719,98%,86%
1722,57%,53%
1728,65%,75%
1727,74%,72%
1720,,
1726,8%,50%
1730,75%,79%
1733,76%,44%
1732,83%,93%
1729,87%,85%
1735,,
1731,7%,24%
1740,,60%
1746,,54%
1742,0%,55%
1743,80%,88%
1747,85%,76%
1750,43%,36%
1752,30%,34%
1755,57%,76%
1756,33%,44%
1748,76%,85%
1754,,98%
1753,29%,81%
1764,,
1762,28%,43%
1767,33%,67%
1769,36%,47%
1772,46%,37%
1760,34%,45%
1770,63%,54%
1776,,80%
1783,39%,31%
1777,69%,80%
1782,,63%
1779,11%,38%
1780,50%,67%
1784,85%,86%
1785,75%,77%
1789,,
1791,49%,73%
1792,25%,53%
1794,87%,58%
1798,,
1796,0%,79%
1799,34%,74%
1801,,
1806,62%,55%
1805,62%,53%
1811,50%,81%
1815,,
1810,81%,64%
1804,63%,44%
1812,80%,52%
1819,88%,77%
1816,51%,41%
1821,52%,51%
1817,36%,65%
1822,7%,38%
1820,85%,85%
1824,44%,50%
1829,64%,54%
1827,92%,67%
1831,28%,24%
1832,,35%
1834,89%,80%
1833,21%,40%
1826,32%,44%
1839,19%,25%
1840,81%,83%
1837,27%,56%
1841,59%,25%
1842,50%,54%
1835,58%,82%
1836,73%,66%
1843,0%,61%
1846,67%,87%
1845,65%,77%
1848,,50%
1851,,56%
1850,40%,42%
1852,,33%
1854,29%,44%
1857,34%,38%
1855,16%,24%
1864,21%,37%
1863,21%,25%
1865,86%,65%
1867,6%,22%
1862,9%,18%
1869,10%,60%
1875,83%,62%
1874,62%,78%
1876,45%,43%
1878,10%,62%
1866,43%,57%
1880,72%,84%
1872,60%,73%
1879,94%,73%
1881,45%,59%
1883,76%,68%
1882,15%,28%
1884,49%,89%
1889,,
1887,8%,64%
1888,26%,72%
1885,80%,60%
1891,,
1890,25%,70%
1896,,
1895,40%,63%
1897,73%,77%
1894,36%,36%
1898,61%,52%
1899,71%,65%
1902,50%,75%
1906,71%,61%
1901,86%,
1904,89%,82%
1907,86%,85%
1910,84%,87%
1903,36%,84%
1911,42%,35%
1913,90%,83%
1908,,67%
1909,66%,72%
1914,83%,82%
1917,38%,73%
1921,88%,85%
1922,,
1918,54%,64%
1920,48%,45%
1923,83%,61%
1924,67%,45%
1925,93%,79%
1926,33%,21%
1927,,
1931,93%,83%
1932,62%,50%
1934,,
1928,,56%
1930,59%,25%
1933,82%,73%
1929,86%,77%
1938,98%,90%
1935,89%,81%
1936,93%,85%
1939,97%,93%
1937,81%,75%
1940,76%,78%
1943,42%,54%
1945,99%,95%
1946,98%,87%
1942,11%,40%
1948,82%,58%
1951,82%,81%
1950,95%,92%
1955,88%,89%
1952,88%,88%
1953,98%,87%
1947,92%,84%
1956,89%,88%
1957,82%,80%
1958,78%,83%
1959,59%,83%
1960,89%,88%
1962,82%,81%
1961,89%,90%
1964,93%,80%
1963,90%,80%
1966,93%,85%
1968,89%,92%
1965,98%,78%
1967,72%,86%
1975,27%,48%
1974,,50%
1984,41%,27%
1985,29%,53%
1986,12%,37%
1983,32%,63%
1987,7%,38%
1992,44%,47%
1991,71%,63%
1994,86%,79%
1995,35%,35%
1996,17%,22%
1993,29%,33%
2000,81%,86%
1997,83%,87%
1998,15%,13%
2001,82%,77%
2003,85%,78%
2004,71%,57%
2002,60%,61%
2005,76%,91%
2007,42%,53%
2006,82%,72%
2008,38%,43%
2009,72%,70%
2015,83%,62%
2016,,54%
2014,88%,57%
2017,,42%
2018,90%,73%
2021,,75%
2026,34%,39%
2022,81%,84%
2024,67%,62%
2033,53%,48%
2023,68%,78%
2028,93%,95%
2029,78%,64%
2032,83%,48%
2034,,8%
2035,82%,72%
2036,9%,34%
2039,50%,57%
2037,,71%
2041,23%,65%
2038,67%,59%
2043,100%,77%
2042,20%,59%
2044,18%,25%
2040,50%,40%
2046,84%,75%
2047,,58%
2049,50%,82%
2050,40%,37%
2051,60%,57%
2052,38%,71%
2053,40%,24%
2058,,
2056,,63%
2054,76%,54%
2055,,65%
2060,42%,74%
2061,88%,64%
2057,89%,77%
2062,65%,50%
2065,92%,88%
2067,84%,88%
2066,95%,92%
2071,100%,88%
2069,100%,85%
2072,53%,71%
2070,84%,82%
2075,78%,84%
2080,93%,80%
2077,91%,78%
2082,23%,65%
2076,94%,88%
2084,39%,88%
2083,76%,85%
2087,,
2086,47%,69%
2090,81%,68%
2089,70%,68%
2091,50%,40%
2097,60%,64%
2096,,
2100,,
2101,60%,55%
2095,50%,43%
2099,50%,72%
2098,86%,47%
2094,65%,65%
2105,72%,69%
2106,56%,79%
2103,50%,52%
2109,81%,84%
2104,85%,66%
2111,76%,64%
2108,94%,75%
2110,79%,72%
2114,63%,82%
2116,52%,64%
2115,84%,81%
2118,89%,76%
2119,15%,50%
2123,44%,63%
2121,63%,45%
2125,91%,84%
2120,31%,44%
2124,64%,66%
2126,41%,35%
2128,57%,54%
2127,40%,43%
2130,100%,77%
2132,95%,91%
2135,29%,57%
2133,72%,70%
2138,82%,86%
2137,78%,62%
2140,79%,81%
2139,93%,85%
2144,84%,85%
2143,38%,73%
2147,10%,47%
2146,44%,68%
2148,20%,
2145,75%,81%
